timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,0.00004771,-0.00007755,1170.9,56.06343153,37.25900723,1198.2,7082057.52,7082057.52,0.00,1.50,2.00,10,1,1
1.00,-0.00008555,-0.00002203,1142.7,56.06311712,37.25998268,1194.5,7082084.10,7082084.10,0.00,1.50,2.00,10,1,1
2.00,0.00000832,-0.00018417,1115.7,56.06280271,37.26095812,1190.8,7082096.40,7082096.40,0.00,1.50,2.00,10,1,1
3.00,-0.00002105,-0.00009172,1083.4,56.06248830,37.26193356,1187.1,7082110.72,7082110.72,0.00,1.50,2.00,10,1,1
4.00,0.00001252,-0.00007758,1048.7,56.06217389,37.26290899,1183.5,7082121.84,7082121.84,0.00,1.50,2.00,10,1,1
5.00,-0.00000832,-0.00005110,1010.3,56.06185948,37.26388441,1179.8,7082138.05,7082138.05,0.00,1.50,2.00,10,1,1
6.00,-0.00005157,-0.00011049,969.5,56.06154507,37.26485982,1176.1,7082160.18,7082160.19,0.00,1.50,2.00,10,1,1
7.00,-0.00014837,-0.00002863,925.9,56.06123066,37.26583523,1172.5,7082181.90,7082181.91,0.00,1.50,2.00,10,1,1
8.00,0.00008563,-0.00012307,877.2,56.06091625,37.26681062,1168.8,7082176.92,7082176.93,0.00,1.50,2.00,10,1,1
9.00,-0.00009099,0.00005224,824.1,56.06060184,37.26778601,1165.1,7082202.95,7082202.96,0.00,1.50,2.00,10,1,1
10.00,-0.00003505,0.00005725,761.9,56.06028742,37.26876139,1161.5,7082212.15,7082212.17,0.00,1.50,2.00,10,1,1
11.00,0.00005264,-0.00003248,697.2,56.05997301,37.26973676,1157.8,7082222.07,7082222.08,0.00,1.50,2.00,10,1,1
12.00,-0.00007117,-0.00000948,628.2,56.05965860,37.27071213,1154.1,7082249.05,7082249.07,0.00,1.50,2.00,10,1,1
13.00,-0.00015844,-0.00005305,566.0,56.05934419,37.27168749,1150.5,7082275.06,7082275.09,0.00,1.50,2.00,10,1,1
14.00,0.00003666,0.00003226,511.3,56.05902978,37.27266283,1146.8,7082266.55,7082266.58,0.00,1.50,2.00,10,1,1
15.00,-0.00008993,0.00005860,451.9,56.05871537,37.27363817,1143.1,7082293.69,7082293.72,0.00,1.50,2.00,10,1,1
16.00,0.00007654,0.00012329,386.7,56.05840096,37.27461351,1139.5,7082289.00,7082289.04,0.00,1.50,2.00,10,1,1
17.00,-0.00017637,0.00002508,337.9,56.05808655,37.27558883,1135.8,7082334.39,7082334.43,0.00,1.50,2.00,10,1,1
18.00,-0.00012326,-0.00003727,286.5,56.05777214,37.27656415,1132.1,7082346.72,7082346.77,0.00,1.50,2.00,10,1,1
19.00,0.00016448,-0.00004292,245.1,56.05745773,37.27753946,1128.5,7082332.49,7082332.55,0.00,1.50,2.00,10,1,1
20.00,0.00013406,0.00005809,218.7,56.05714332,37.27851476,1124.8,7082346.58,7082346.64,0.00,1.50,2.00,10,1,1
21.00,-0.00000894,0.00002555,179.2,56.05682891,37.27949005,1121.1,7082377.89,7082377.95,0.00,1.50,2.00,10,1,1
22.00,0.00001448,-0.00000205,150.4,56.05651450,37.28046534,1117.4,7082391.83,7082391.90,0.00,1.50,2.00,10,1,1
23.00,-0.00002286,0.00007436,125.4,56.05620009,37.28144061,1113.8,7082407.67,7082407.74,0.00,1.50,2.00,10,1,1
24.00,0.00009513,-0.00012853,107.7,56.05588568,37.28241588,1110.1,7082419.23,7082419.30,0.00,1.50,2.00,10,1,1
25.00,-0.00001008,-0.00003920,87.4,56.05557127,37.28339114,1106.4,7082441.53,7082441.60,0.00,1.50,2.00,10,1,1
26.00,0.00017942,0.00004414,54.7,56.05525686,37.28436640,1102.8,7082433.69,7082433.77,0.00,1.50,2.00,10,1,1
27.00,0.00009807,-0.00002730,20.6,56.05494245,37.28534164,1099.1,7082460.29,7082460.37,0.00,1.50,2.00,10,1,1
28.00,-0.00014513,0.00010258,22.0,56.05462804,37.28631688,1095.4,7082495.10,7082495.18,0.00,1.50,2.00,10,1,1
29.00,-0.00009705,-0.00004231,11.8,56.05431363,37.28729211,1091.8,7082511.44,7082511.53,0.00,1.50,2.00,10,1,1
30.00,0.00001245,-0.00005252,6.9,56.05399922,37.28826733,1088.1,7082515.80,7082515.88,0.00,1.50,2.00,10,1,1
31.00,0.00007927,-0.00020114,0.2,56.05368481,37.28924254,1084.4,7082530.37,7082530.45,0.00,1.50,2.00,10,1,1
32.00,0.00002164,-0.00006376,-10.8,56.05337040,37.29021775,1080.8,7082545.74,7082545.83,0.00,1.50,2.00,10,1,1
33.00,-0.00001723,-0.00005814,-14.9,56.05305599,37.29119295,1077.1,7082564.73,7082564.81,0.00,1.50,2.00,10,1,1
34.00,0.00005760,-0.00010809,-1.1,56.05274158,37.29216814,1073.4,7082574.33,7082574.41,0.00,1.50,2.00,10,1,1
35.00,-0.00002474,0.00010227,22.9,56.05242717,37.29314332,1069.8,7082589.19,7082589.26,0.00,1.50,2.00,10,1,1
36.00,-0.00007863,-0.00000249,25.7,56.05211276,37.29411849,1066.1,7082614.36,7082614.44,0.00,1.50,2.00,10,1,1
37.00,0.00009797,0.00000174,10.1,56.05179835,37.29509366,1062.4,7082611.20,7082611.28,0.00,1.50,2.00,10,1,1
38.00,0.00019033,-0.00011437,7.7,56.05148394,37.29606882,1058.8,7082621.78,7082621.86,0.00,1.50,2.00,10,1,1
39.00,-0.00005815,-0.00005519,1.0,56.05116952,37.29704397,1055.1,7082660.13,7082660.20,0.00,1.50,2.00,10,1,1
40.00,-0.00011561,-0.00011959,-6.8,56.05085511,37.29801911,1051.4,7082683.98,7082684.06,0.00,1.50,2.00,10,1,1
41.00,-0.00007847,0.00015987,-3.8,56.05054070,37.29899424,1047.7,7082683.62,7082683.70,0.00,1.50,2.00,10,1,1
42.00,0.00019100,0.00009924,31.3,56.05022629,37.29996937,1044.1,7082673.62,7082673.69,0.00,1.50,2.00,10,1,1
43.00,0.00008148,-0.00013457,11.4,56.04991188,37.30094449,1040.4,7082709.97,7082710.04,0.00,1.50,2.00,10,1,1
44.00,0.00012653,-0.00007844,12.9,56.04959747,37.30191960,1036.7,7082718.19,7082718.27,0.00,1.50,2.00,10,1,1
45.00,0.00010675,-0.00009019,3.9,56.04928306,37.30289470,1033.1,7082735.95,7082736.03,0.00,1.50,2.00,10,1,1
46.00,0.00003948,0.00003399,35.8,56.04896865,37.30386979,1029.4,7082752.89,7082752.96,0.00,1.50,2.00,10,1,1
47.00,0.00004100,-0.00002989,36.2,56.04865424,37.30484488,1025.7,7082770.66,7082770.72,0.00,1.50,2.00,10,1,1
48.00,0.00005627,0.00027638,49.9,56.04833983,37.30581996,1022.1,7082771.43,7082771.50,0.00,1.50,2.00,10,1,1
49.00,0.00009036,0.00004234,27.5,56.04802542,37.30679503,1018.4,7082793.00,7082793.07,0.00,1.50,2.00,10,1,1
50.00,-0.00001551,-0.00012778,30.3,56.04771101,37.30777009,1014.7,7082826.30,7082826.37,0.00,1.50,2.00,10,1,1
51.00,0.00013309,-0.00000859,42.6,56.04739660,37.30874515,1011.1,7082821.21,7082821.27,0.00,1.50,2.00,10,1,1
52.00,0.00004984,-0.00012392,29.9,56.04708219,37.30972019,1007.4,7082849.88,7082849.94,0.00,1.50,2.00,10,1,1
53.00,-0.00000859,-0.00009577,-8.8,56.04676778,37.31069523,1003.7,7082869.95,7082870.03,0.00,1.50,2.00,10,1,1
54.00,0.00006492,-0.00014201,-10.6,56.04645337,37.31167026,1000.1,7082879.56,7082879.64,0.00,1.50,2.00,10,1,1
55.00,0.00004211,-0.00006408,-18.5,56.04613896,37.31264528,996.4,7082893.88,7082893.95,0.00,1.50,2.00,10,1,1
56.00,0.00011754,0.00009037,-9.1,56.04582455,37.31362030,992.7,7082894.85,7082894.92,0.00,1.50,2.00,10,1,1
57.00,0.00008063,0.00005586,13.6,56.04551014,37.31459531,989.0,7082915.35,7082915.42,0.00,1.50,2.00,10,1,1
58.00,-0.00000969,0.00007567,10.6,56.04519573,37.31557031,985.4,7082939.07,7082939.14,0.00,1.50,2.00,10,1,1
59.00,0.00007430,-0.00005222,13.2,56.04488132,37.31654530,981.7,7082951.04,7082951.11,0.00,1.50,2.00,10,1,1
60.00,-0.00000243,-0.00012720,2.1,56.04456691,37.31752028,978.0,7082977.36,7082977.42,0.00,1.50,2.00,10,1,1
61.00,-0.00015453,-0.00009951,-7.2,56.04425250,37.31849525,974.4,7083007.12,7083007.18,0.00,1.50,2.00,10,1,1
62.00,-0.00008649,0.00009978,-56.8,56.04393809,37.31947022,970.7,7083006.97,7083007.05,0.00,1.50,2.00,10,1,1
63.00,-0.00001258,-0.00004114,-0.4,56.04362368,37.32044518,967.0,7083020.54,7083020.60,0.00,1.50,2.00,10,1,1
64.00,-0.00010870,-0.00000939,13.4,56.04330927,37.32142013,963.4,7083044.36,7083044.42,0.00,1.50,2.00,10,1,1
65.00,-0.00010903,0.00015187,8.6,56.04299486,37.32239508,959.7,7083052.86,7083052.93,0.00,1.50,2.00,10,1,1
66.00,-0.00003043,0.00008765,-37.7,56.04268045,37.32337001,956.0,7083062.72,7083062.79,0.00,1.50,2.00,10,1,1
67.00,0.00003690,-0.00005184,-14.9,56.04236603,37.32434494,952.4,7083076.91,7083076.98,0.00,1.50,2.00,10,1,1
68.00,-0.00002021,0.00004695,-15.3,56.04205162,37.32531986,948.7,7083093.90,7083093.96,0.00,1.50,2.00,10,1,1
69.00,-0.00009138,0.00007216,-0.3,56.04173721,37.32629477,945.0,7083115.43,7083115.50,0.00,1.50,2.00,10,1,1
70.00,-0.00005287,-0.00016510,-27.0,56.04142280,37.32726967,941.4,7083136.71,7083136.78,0.00,1.50,2.00,10,1,1
71.00,0.00000906,0.00001239,-6.4,56.04110839,37.32824457,937.7,7083138.12,7083138.19,0.00,1.50,2.00,10,1,1
72.00,0.00014095,0.00011951,-17.5,56.04079398,37.32921946,934.0,7083135.29,7083135.35,0.00,1.50,2.00,10,1,1
73.00,-0.00001850,0.00004271,-5.3,56.04047957,37.33019434,930.4,7083170.22,7083170.28,0.00,1.50,2.00,10,1,1
74.00,0.00001994,0.00008379,-8.4,56.04016516,37.33116921,926.7,7083179.79,7083179.85,0.00,1.50,2.00,10,1,1
75.00,0.00024392,-0.00005079,-4.9,56.03985075,37.33214407,923.0,7083177.64,7083177.70,0.00,1.50,2.00,10,1,1
76.00,-0.00000155,0.00001997,-12.0,56.03953634,37.33311893,919.3,7083215.23,7083215.29,0.00,1.50,2.00,10,1,1
77.00,0.00004297,-0.00002997,7.7,56.03922193,37.33409378,915.7,7083228.02,7083228.08,0.00,1.50,2.00,10,1,1
78.00,-0.00006869,-0.00002371,32.8,56.03890752,37.33506862,912.0,7083254.53,7083254.59,0.00,1.50,2.00,10,1,1
79.00,-0.00008447,0.00007644,54.2,56.03859311,37.33604345,908.3,7083267.22,7083267.27,0.00,1.50,2.00,10,1,1
80.00,0.00004122,-0.00016697,63.1,56.03827870,37.33701827,904.7,7083279.79,7083279.84,0.00,1.50,2.00,10,1,1
81.00,0.00016084,-0.00001490,30.8,56.03796429,37.33799309,901.0,7083276.33,7083276.39,0.00,1.50,2.00,10,1,1
82.00,-0.00003389,-0.00004008,5.3,56.03764988,37.33896790,897.3,7083312.74,7083312.80,0.00,1.50,2.00,10,1,1
83.00,0.00017208,-0.00007470,18.5,56.03733547,37.33994270,893.7,7083308.25,7083308.31,0.00,1.50,2.00,10,1,1
