timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,-0.00015208,-0.00011645,1170.1,56.06343153,37.25900723,1198.2,7082079.75,7082079.75,0.00,1.50,2.00,8,1,1
1.00,0.00010854,0.00008341,1139.5,56.06311712,37.25998268,1194.5,7082059.66,7082059.66,0.00,1.50,2.00,8,1,1
2.00,0.00015876,0.00016094,1110.0,56.06280271,37.26095812,1190.8,7082066.40,7082066.40,0.00,1.50,2.00,8,1,1
3.00,-0.00005310,0.00007404,1078.2,56.06248830,37.26193356,1187.1,7082107.06,7082107.06,0.00,1.50,2.00,8,1,1
4.00,-0.00005959,0.00004613,1043.7,56.06217389,37.26290899,1183.5,7082124.08,7082124.08,0.00,1.50,2.00,8,1,1
5.00,0.00022153,0.00004087,1005.9,56.06185948,37.26388441,1179.8,7082110.49,7082110.50,0.00,1.50,2.00,8,1,1
6.00,0.00014992,0.00020686,962.0,56.06154507,37.26485982,1176.1,7082126.08,7082126.08,0.00,1.50,2.00,8,1,1
7.00,0.00013620,-0.00004330,916.2,56.06123066,37.26583523,1172.5,7082153.18,7082153.19,0.00,1.50,2.00,8,1,1
8.00,0.00000676,0.00003084,869.5,56.06091625,37.26681062,1168.8,7082178.59,7082178.60,0.00,1.50,2.00,8,1,1
9.00,0.00004660,-0.00001119,815.2,56.06060184,37.26778601,1165.1,7082191.43,7082191.44,0.00,1.50,2.00,8,1,1
10.00,0.00009914,-0.00008264,760.8,56.06028742,37.26876139,1161.5,7082204.20,7082204.21,0.00,1.50,2.00,8,1,1
11.00,-0.00000878,-0.00000750,707.3,56.05997301,37.26973676,1157.8,7082227.35,7082227.36,0.00,1.50,2.00,8,1,1
12.00,0.00014359,0.00004498,646.2,56.05965860,37.27071213,1154.1,7082224.62,7082224.64,0.00,1.50,2.00,8,1,1
13.00,0.00007062,0.00003088,581.5,56.05934419,37.27168749,1150.5,7082247.92,7082247.95,0.00,1.50,2.00,8,1,1
