timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,-0.00011652,-0.00004984,1171.9,56.06343153,37.25900723,1198.2,7082073.29,7082073.29,0.00,1.50,2.00,8,1,1
1.00,0.00008042,-0.00023966,1143.7,56.06311712,37.25998268,1194.5,7082076.13,7082076.13,0.00,1.50,2.00,8,1,1
2.00,0.00015920,-0.00002049,1115.3,56.06280271,37.26095812,1190.8,7082073.97,7082073.97,0.00,1.50,2.00,8,1,1
3.00,0.00007285,-0.00002921,1082.7,56.06248830,37.26193356,1187.1,7082098.41,7082098.42,0.00,1.50,2.00,8,1,1
4.00,0.00004524,-0.00000746,1049.1,56.06217389,37.26290899,1183.5,7082115.52,7082115.52,0.00,1.50,2.00,8,1,1
5.00,0.00004017,0.00000200,1013.0,56.06185948,37.26388441,1179.8,7082130.82,7082130.82,0.00,1.50,2.00,8,1,1
6.00,0.00020629,-0.00010978,973.9,56.06154507,37.26485982,1176.1,7082133.57,7082133.57,0.00,1.50,2.00,8,1,1
7.00,-0.00004378,0.00000250,929.1,56.06123066,37.26583523,1172.5,7082169.81,7082169.82,0.00,1.50,2.00,8,1,1
8.00,0.00003043,0.00012492,876.5,56.06091625,37.26681062,1168.8,7082172.20,7082172.20,0.00,1.50,2.00,8,1,1
9.00,-0.00001154,-0.00001195,818.5,56.06060184,37.26778601,1165.1,7082197.45,7082197.46,0.00,1.50,2.00,8,1,1
10.00,-0.00008295,0.00008280,755.8,56.06028742,37.26876139,1161.5,7082216.02,7082216.03,0.00,1.50,2.00,8,1,1
11.00,-0.00000777,0.00016755,699.5,56.05997301,37.26973676,1157.8,7082219.89,7082219.91,0.00,1.50,2.00,8,1,1
12.00,0.00004473,0.00001214,641.1,56.05965860,37.27071213,1154.1,7082236.19,7082236.21,0.00,1.50,2.00,8,1,1
13.00,0.00003066,-0.00005824,584.8,56.05934419,37.27168749,1150.5,7082255.79,7082255.81,0.00,1.50,2.00,8,1,1
14.00,0.00004575,-0.00001757,523.3,56.05902978,37.27266283,1146.8,7082267.71,7082267.74,0.00,1.50,2.00,8,1,1
15.00,0.00003774,-0.00018255,467.2,56.05871537,37.27363817,1143.1,7082290.66,7082290.69,0.00,1.50,2.00,8,1,1
16.00,0.00011737,-0.00006352,402.4,56.05840096,37.27461351,1139.5,7082292.64,7082292.68,0.00,1.50,2.00,8,1,1
17.00,0.00005802,0.00000846,351.6,56.05808655,37.27558883,1135.8,7082310.92,7082310.97,0.00,1.50,2.00,8,1,1
18.00,0.00002128,-0.00001844,302.9,56.05777214,37.27656415,1132.1,7082331.03,7082331.08,0.00,1.50,2.00,8,1,1
19.00,-0.00008290,0.00000841,254.6,56.05745773,37.27753946,1128.5,7082355.84,7082355.89,0.00,1.50,2.00,8,1,1
20.00,-0.00000685,0.00000723,208.3,56.05714332,37.27851476,1124.8,7082363.24,7082363.30,0.00,1.50,2.00,8,1,1
21.00,-0.00005612,0.00019929,180.9,56.05682891,37.27949005,1121.1,7082375.45,7082375.51,0.00,1.50,2.00,8,1,1
22.00,0.00022236,0.00017057,142.3,56.05651450,37.28046534,1117.4,7082363.15,7082363.22,0.00,1.50,2.00,8,1,1
23.00,-0.00018389,0.00010674,117.5,56.05620009,37.28144061,1113.8,7082422.91,7082422.98,0.00,1.50,2.00,8,1,1
24.00,-0.00021078,0.00004703,100.4,56.05588568,37.28241588,1110.1,7082443.39,7082443.46,0.00,1.50,2.00,8,1,1
25.00,0.00010652,-0.00011077,70.1,56.05557127,37.28339114,1106.4,7082432.51,7082432.59,0.00,1.50,2.00,8,1,1
26.00,-0.00000509,0.00011120,56.8,56.05525686,37.28436640,1102.8,7082449.89,7082449.97,0.00,1.50,2.00,8,1,1
27.00,-0.00002369,0.00014767,36.9,56.05494245,37.28534164,1099.1,7082465.48,7082465.56,0.00,1.50,2.00,8,1,1
28.00,0.00000466,-0.00007219,32.9,56.05462804,37.28631688,1095.4,7082487.01,7082487.09,0.00,1.50,2.00,8,1,1
29.00,0.00028295,0.00014434,28.7,56.05431363,37.28729211,1091.8,7082464.43,7082464.51,0.00,1.50,2.00,8,1,1
30.00,-0.00009890,-0.00000289,19.6,56.05399922,37.28826733,1088.1,7082525.19,7082525.27,0.00,1.50,2.00,8,1,1
31.00,0.00004826,-0.00011857,4.8,56.05368481,37.28924254,1084.4,7082530.09,7082530.17,0.00,1.50,2.00,8,1,1
32.00,0.00013394,0.00014062,-7.1,56.05337040,37.29021775,1080.8,7082525.58,7082525.66,0.00,1.50,2.00,8,1,1
33.00,0.00006706,-0.00004130,-26.8,56.05305599,37.29119295,1077.1,7082555.33,7082555.42,0.00,1.50,2.00,8,1,1
34.00,-0.00009780,-0.00000825,-20.7,56.05274158,37.29216814,1073.4,7082586.15,7082586.23,0.00,1.50,2.00,8,1,1
35.00,0.00008882,-0.00009317,-11.8,56.05242717,37.29314332,1069.8,7082585.70,7082585.78,0.00,1.50,2.00,8,1,1
36.00,0.00009538,-0.00002065,-17.8,56.05211276,37.29411849,1066.1,7082597.19,7082597.27,0.00,1.50,2.00,8,1,1
37.00,-0.00009134,-0.00001796,-16.6,56.05179835,37.29509366,1062.4,7082631.54,7082631.62,0.00,1.50,2.00,8,1,1
38.00,-0.00009249,-0.00002379,-16.7,56.05148394,37.29606882,1058.8,7082647.12,7082647.20,0.00,1.50,2.00,8,1,1
39.00,0.00002502,-0.00004208,-9.2,56.05116952,37.29704397,1055.1,7082651.00,7082651.08,0.00,1.50,2.00,8,1,1
40.00,-0.00004960,0.00003221,-10.8,56.05085511,37.29801911,1051.4,7082670.79,7082670.87,0.00,1.50,2.00,8,1,1
41.00,-0.00003126,0.00005502,27.0,56.05054070,37.29899424,1047.7,7082683.16,7082683.24,0.00,1.50,2.00,8,1,1
42.00,0.00004284,-0.00006620,6.2,56.05022629,37.29996937,1044.1,7082695.85,7082695.92,0.00,1.50,2.00,8,1,1
43.00,-0.00000282,0.00007015,-29.6,56.04991188,37.30094449,1040.4,7082710.05,7082710.13,0.00,1.50,2.00,8,1,1
44.00,0.00018639,0.00008822,-11.8,56.04959747,37.30191960,1036.7,7082705.01,7082705.09,0.00,1.50,2.00,8,1,1
45.00,-0.00006067,0.00002362,5.2,56.04928306,37.30289470,1033.1,7082748.42,7082748.50,0.00,1.50,2.00,8,1,1
46.00,-0.00009910,-0.00007971,-19.8,56.04896865,37.30386979,1029.4,7082771.96,7082772.04,0.00,1.50,2.00,8,1,1
47.00,0.00013806,-0.00009234,-32.3,56.04865424,37.30484488,1025.7,7082763.28,7082763.36,0.00,1.50,2.00,8,1,1
48.00,-0.00008802,-0.00006124,-23.5,56.04833983,37.30581996,1022.1,7082800.50,7082800.58,0.00,1.50,2.00,8,1,1
49.00,-0.00007716,-0.00006304,-27.5,56.04802542,37.30679503,1018.4,7082814.70,7082814.77,0.00,1.50,2.00,8,1,1
50.00,0.00005328,0.00004350,-22.1,56.04771101,37.30777009,1014.7,7082812.01,7082812.08,0.00,1.50,2.00,8,1,1
51.00,0.00002823,-0.00008721,-17.5,56.04739660,37.30874515,1011.1,7082835.32,7082835.40,0.00,1.50,2.00,8,1,1
52.00,0.00025879,0.00004168,-12.9,56.04708219,37.30972019,1007.4,7082821.38,7082821.45,0.00,1.50,2.00,8,1,1
53.00,-0.00008826,-0.00001517,-17.4,56.04676778,37.31069523,1003.7,7082874.78,7082874.85,0.00,1.50,2.00,8,1,1
54.00,-0.00008159,0.00008238,11.8,56.04645337,37.31167026,1000.1,7082885.23,7082885.29,0.00,1.50,2.00,8,1,1
55.00,0.00006365,0.00029785,31.5,56.04613896,37.31264528,996.4,7082876.43,7082876.50,0.00,1.50,2.00,8,1,1
56.00,0.00004601,-0.00016041,46.0,56.04582455,37.31362030,992.7,7082912.77,7082912.84,0.00,1.50,2.00,8,1,1
57.00,0.00013324,-0.00008905,26.5,56.04551014,37.31459531,989.0,7082916.03,7082916.09,0.00,1.50,2.00,8,1,1
58.00,-0.00014505,-0.00010835,-5.3,56.04519573,37.31557031,985.4,7082960.77,7082960.83,0.00,1.50,2.00,8,1,1
59.00,0.00010492,0.00000991,-40.7,56.04488132,37.31654530,981.7,7082945.27,7082945.35,0.00,1.50,2.00,8,1,1
60.00,-0.00011834,-0.00000241,-26.8,56.04456691,37.31752028,978.0,7082984.05,7082984.12,0.00,1.50,2.00,8,1,1
61.00,0.00013394,0.00004355,-17.7,56.04425250,37.31849525,974.4,7082971.37,7082971.44,0.00,1.50,2.00,8,1,1
62.00,0.00006983,-0.00018377,0.3,56.04393809,37.31947022,970.7,7083002.79,7083002.86,0.00,1.50,2.00,8,1,1
63.00,-0.00001911,0.00003050,8.6,56.04362368,37.32044518,967.0,7083018.19,7083018.26,0.00,1.50,2.00,8,1,1
64.00,0.00012209,-0.00010588,1.8,56.04330927,37.32142013,963.4,7083024.63,7083024.70,0.00,1.50,2.00,8,1,1
65.00,0.00013203,-0.00010617,-29.6,56.04299486,37.32239508,959.7,7083038.88,7083038.95,0.00,1.50,2.00,8,1,1
66.00,0.00011755,-0.00003420,-18.7,56.04268045,37.32337001,956.0,7083052.60,7083052.67,0.00,1.50,2.00,8,1,1
67.00,0.00000274,-0.00006280,16.2,56.04236603,37.32434494,952.4,7083080.89,7083080.95,0.00,1.50,2.00,8,1,1
68.00,0.00000229,-0.00000566,10.5,56.04205162,37.32531986,948.7,7083093.79,7083093.86,0.00,1.50,2.00,8,1,1
69.00,0.00000308,0.00015211,18.0,56.04173721,37.32629477,945.0,7083102.33,7083102.39,0.00,1.50,2.00,8,1,1
70.00,0.00002354,0.00000351,-8.4,56.04142280,37.32726967,941.4,7083121.74,7083121.80,0.00,1.50,2.00,8,1,1
71.00,0.00014997,0.00001968,-30.9,56.04110839,37.32824457,937.7,7083123.29,7083123.36,0.00,1.50,2.00,8,1,1
72.00,0.00001730,0.00003317,-29.4,56.04079398,37.32921946,934.0,7083151.66,7083151.73,0.00,1.50,2.00,8,1,1
73.00,-0.00007499,0.00000303,-6.8,56.04047957,37.33019434,930.4,7083177.71,7083177.77,0.00,1.50,2.00,8,1,1
74.00,-0.00004793,-0.00006267,27.8,56.04016516,37.33116921,926.7,7083192.95,7083193.01,0.00,1.50,2.00,8,1,1
75.00,0.00007782,0.00012802,12.7,56.03985075,37.33214407,923.0,7083187.24,7083187.29,0.00,1.50,2.00,8,1,1
76.00,0.00001856,0.00003270,17.1,56.03953634,37.33311893,919.3,7083212.62,7083212.68,0.00,1.50,2.00,8,1,1
77.00,0.00004915,-0.00007677,-5.4,56.03922193,37.33409378,915.7,7083229.35,7083229.41,0.00,1.50,2.00,8,1,1
78.00,0.00004598,0.00018227,8.4,56.03890752,37.33506862,912.0,7083234.05,7083234.10,0.00,1.50,2.00,8,1,1
79.00,-0.00002451,-0.00011774,-15.5,56.03859311,37.33604345,908.3,7083269.21,7083269.27,0.00,1.50,2.00,8,1,1
80.00,0.00002667,0.00004930,-23.5,56.03827870,37.33701827,904.7,7083272.18,7083272.24,0.00,1.50,2.00,8,1,1
81.00,0.00021281,0.00009745,-23.0,56.03796429,37.33799309,901.0,7083266.25,7083266.31,0.00,1.50,2.00,8,1,1
82.00,0.00006764,0.00003728,-30.0,56.03764988,37.33896790,897.3,7083299.02,7083299.08,0.00,1.50,2.00,8,1,1
83.00,0.00003312,0.00002743,-11.0,56.03733547,37.33994270,893.7,7083318.27,7083318.33,0.00,1.50,2.00,8,1,1
84.00,-0.00002864,0.00016046,-14.2,56.03702106,37.34091749,890.0,7083334.32,7083334.37,0.00,1.50,2.00,8,1,1
85.00,-0.00010683,-0.00003542,-14.9,56.03670665,37.34189227,886.3,7083365.90,7083365.96,0.00,1.50,2.00,8,1,1
86.00,0.00003159,0.00017423,-18.8,56.03639224,37.34286705,882.7,7083358.09,7083358.15,0.00,1.50,2.00,8,1,1
87.00,-0.00004366,0.00000162,26.4,56.03607783,37.34384182,879.0,7083388.40,7083388.45,0.00,1.50,2.00,8,1,1
88.00,-0.00007188,0.00008211,44.0,56.03576342,37.34481658,875.3,7083403.21,7083403.25,0.00,1.50,2.00,8,1,1
89.00,0.00001582,0.00003094,57.9,56.03544901,37.34579133,871.7,7083411.61,7083411.66,0.00,1.50,2.00,8,1,1
90.00,-0.00013533,-0.00002185,17.1,56.03513460,37.34676608,868.0,7083444.70,7083444.75,0.00,1.50,2.00,8,1,1
91.00,-0.00014288,0.00006528,38.1,56.03482019,37.34774081,864.3,7083457.10,7083457.14,0.00,1.50,2.00,8,1,1
92.00,0.00010853,0.00007507,10.2,56.03450578,37.34871554,860.6,7083446.07,7083446.12,0.00,1.50,2.00,8,1,1
93.00,0.00005172,-0.00004951,6.0,56.03419137,37.34969026,857.0,7083472.46,7083472.51,0.00,1.50,2.00,8,1,1
94.00,-0.00001320,-0.00003027,17.0,56.03387696,37.35066498,853.3,7083493.63,7083493.68,0.00,1.50,2.00,8,1,1
95.00,0.00004908,0.00000317,2.0,56.03356255,37.35163968,849.6,7083501.10,7083501.15,0.00,1.50,2.00,8,1,1
96.00,-0.00010778,0.00000922,-36.5,56.03324813,37.35261438,846.0,7083532.31,7083532.36,0.00,1.50,2.00,8,1,1
97.00,0.00003830,-0.00017020,-11.8,56.03293372,37.35358907,842.3,7083540.11,7083540.16,0.00,1.50,2.00,8,1,1
98.00,-0.00003837,0.00002588,40.0,56.03261931,37.35456375,838.6,7083555.05,7083555.10,0.00,1.50,2.00,8,1,1
99.00,-0.00000198,-0.00007569,63.1,56.03230490,37.35553842,835.0,7083570.88,7083570.92,0.00,1.50,2.00,8,1,1
100.00,0.00011065,-0.00005376,50.3,56.03199049,37.35651309,831.3,7083573.65,7083573.70,0.00,1.50,2.00,8,1,1
101.00,0.00001787,-0.00015397,56.3,56.03167608,37.35748774,827.6,7083602.74,7083602.78,0.00,1.50,2.00,8,1,1
102.00,-0.00008808,-0.00001385,4.0,56.03136167,37.35846239,824.0,7083623.06,7083623.10,0.00,1.50,2.00,8,1,1
103.00,0.00000238,0.00014187,-13.3,56.03104726,37.35943704,820.3,7083622.48,7083622.53,0.00,1.50,2.00,8,1,1
104.00,-0.00002706,0.00007024,-30.1,56.03073285,37.36041167,816.6,7083643.84,7083643.89,0.00,1.50,2.00,8,1,1
105.00,-0.00004749,0.00010266,-22.0,56.03041844,37.36138629,813.0,7083659.89,7083659.94,0.00,1.50,2.00,8,1,1
106.00,-0.00005850,-0.00004216,-11.3,56.03010403,37.36236091,809.3,7083682.43,7083682.48,0.00,1.50,2.00,8,1,1
107.00,-0.00001472,0.00004375,-31.6,56.02978962,37.36333552,805.6,7083689.61,7083689.66,0.00,1.50,2.00,8,1,1
108.00,-0.00000069,0.00013661,-30.7,56.02947521,37.36431012,802.0,7083699.57,7083699.61,0.00,1.50,2.00,8,1,1
109.00,0.00000501,-0.00010685,-26.5,56.02916080,37.36528472,798.3,7083724.55,7083724.60,0.00,1.50,2.00,8,1,1
110.00,0.00005239,0.00015038,-1.6,56.02884639,37.36625930,794.6,7083724.15,7083724.19,0.00,1.50,2.00,8,1,1
111.00,0.00005515,-0.00008371,6.8,56.02853198,37.36723388,790.9,7083749.04,7083749.08,0.00,1.50,2.00,8,1,1
112.00,0.00007468,-0.00001395,-23.0,56.02821757,37.36820845,787.3,7083759.41,7083759.45,0.00,1.50,2.00,8,1,1
113.00,0.00006611,-0.00002523,-22.8,56.02790316,37.36918301,783.6,7083776.08,7083776.13,0.00,1.50,2.00,8,1,1
