timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06317553,37.25996968,1193.7,56.06343153,37.25900723,1198.2,66.26,66.40,0.21,1.50,2.00,0,1,0
1.00,56.06280498,37.26096115,1188.6,56.06311712,37.25998268,1194.5,70.04,70.28,0.10,1.50,2.00,0,1,0
2.00,56.06253644,37.26188095,1182.4,56.06280271,37.26095812,1190.8,64.56,65.10,0.44,1.50,2.00,0,1,0
3.00,56.06222012,37.26274395,1177.6,56.06248830,37.26193356,1187.1,58.55,59.32,0.43,1.50,2.00,0,1,0
4.00,56.06187047,37.26377320,1172.5,56.06217389,37.26290899,1183.5,63.45,64.40,0.65,1.50,2.00,0,1,0
5.00,56.06149995,37.26499549,1169.6,56.06185948,37.26388441,1179.8,79.81,80.46,0.56,1.50,2.00,0,1,0
6.00,56.06125776,37.26575705,1165.8,56.06154507,37.26485982,1176.1,64.28,65.10,0.17,1.50,2.00,0,1,0
7.00,56.06089133,37.26673782,1160.8,56.06123066,37.26583523,1172.5,67.63,68.63,0.17,1.50,2.00,0,1,0
8.00,56.06062042,37.26778012,1159.0,56.06091625,37.26681062,1168.8,68.67,69.36,0.30,1.50,2.00,0,1,0
9.00,56.06032178,37.26875775,1152.8,56.06060184,37.26778601,1165.1,67.97,69.07,0.19,1.50,2.00,0,1,0
10.00,56.05994423,37.26955986,1151.5,56.06028742,37.26876139,1161.5,62.63,63.41,0.23,1.50,2.00,0,1,0
11.00,56.05969516,37.27082531,1144.8,56.05997301,37.26973676,1157.8,74.39,75.51,0.26,1.50,2.00,0,1,0
12.00,56.05929741,37.27177739,1138.8,56.05965860,37.27071213,1154.1,77.46,78.97,0.38,1.50,2.00,0,1,0
13.00,56.05895535,37.27262385,1138.2,56.05934419,37.27168749,1150.5,72.53,73.56,0.43,1.50,2.00,0,1,0
14.00,56.05871258,37.27349623,1136.3,56.05902978,37.27266283,1146.8,62.69,63.57,0.31,1.50,2.00,0,1,0
15.00,56.05838756,37.27436937,1129.4,56.05871537,37.27363817,1143.1,58.28,59.88,0.19,1.50,2.00,0,1,0
16.00,56.05812864,37.27571903,1126.2,56.05840096,37.27461351,1139.5,75.10,76.26,0.25,1.50,2.00,0,1,0
17.00,56.05778353,37.27668989,1124.1,56.05808655,37.27558883,1135.8,76.30,77.20,0.14,1.50,2.00,0,1,0
18.00,56.05747807,37.27763543,1119.6,56.05777214,37.27656415,1132.1,74.20,75.25,0.19,1.50,2.00,0,1,0
19.00,56.05705760,37.27852468,1115.7,56.05745773,37.27753946,1128.5,75.72,76.79,0.26,1.50,2.00,0,1,0
20.00,56.05682227,37.27950023,1111.6,56.05714332,37.27851476,1124.8,70.92,72.14,0.28,1.50,2.00,0,1,0
21.00,56.05652238,37.28059215,1107.6,56.05682891,37.27949005,1121.1,76.53,77.72,0.23,1.50,2.00,0,1,0
22.00,56.05618483,37.28148376,1103.3,56.05651450,37.28046534,1117.4,73.17,74.53,0.28,1.50,2.00,0,1,0
23.00,56.05590400,37.28251289,1101.5,56.05620009,37.28144061,1113.8,74.36,75.37,0.17,1.50,2.00,0,1,0
24.00,56.05556060,37.28350157,1101.4,56.05588568,37.28241588,1110.1,76.58,77.07,0.20,1.50,2.00,0,1,0
25.00,56.05536602,37.28442759,1100.6,56.05557127,37.28339114,1106.4,68.36,68.60,0.28,1.50,2.00,0,1,0
26.00,56.05492812,37.28532070,1098.8,56.05525686,37.28436640,1102.8,69.70,69.81,0.36,1.50,2.00,0,1,0
27.00,56.05463561,37.28630189,1096.6,56.05494245,37.28534164,1099.1,68.77,68.82,0.16,1.50,2.00,0,1,0
28.00,56.05426360,37.28731908,1100.7,56.05462804,37.28631688,1095.4,74.34,74.53,0.21,1.50,2.00,0,1,0
29.00,56.05402431,37.28829151,1097.8,56.05431363,37.28729211,1091.8,69.98,70.23,0.18,1.50,2.00,0,1,0
30.00,56.05366756,37.28929934,1091.8,56.05399922,37.28826733,1088.1,74.02,74.11,0.29,1.50,2.00,0,1,0
31.00,56.05340624,37.29007964,1089.2,56.05368481,37.28924254,1084.4,60.58,60.76,0.09,1.50,2.00,0,1,0
32.00,56.05305151,37.29120282,1078.8,56.05337040,37.29021775,1080.8,70.78,70.81,0.37,1.50,2.00,0,1,0
33.00,56.05271710,37.29212548,1070.8,56.05305599,37.29119295,1077.1,69.16,69.45,0.31,1.50,2.00,0,1,0
34.00,56.05237166,37.29317941,1066.3,56.05274158,37.29216814,1073.4,75.15,75.49,0.37,1.50,2.00,0,1,0
35.00,56.05214572,37.29390818,1064.3,56.05242717,37.29314332,1069.8,56.94,57.20,0.40,1.50,2.00,0,1,0
36.00,56.05182210,37.29519208,1059.5,56.05211276,37.29411849,1066.1,74.17,74.47,0.38,1.50,2.00,0,1,0
