timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06314174,37.26011406,1196.6,56.06343153,37.25900723,1198.2,75.98,75.99,0.63,1.50,2.00,0,1,0
1.00,56.06290016,37.26084816,1194.5,56.06311712,37.25998268,1194.5,58.96,58.96,0.45,1.50,2.00,0,1,0
2.00,56.06245051,37.26187954,1189.3,56.06280271,37.26095812,1190.8,69.40,69.42,0.52,1.50,2.00,0,1,0
3.00,56.06213241,37.26298215,1187.8,56.06248830,37.26193356,1187.1,76.27,76.27,0.22,1.50,2.00,0,1,0
4.00,56.06186218,37.26394598,1184.3,56.06217389,37.26290899,1183.5,73.20,73.20,0.20,1.50,2.00,0,1,0
5.00,56.06152858,37.26491379,1178.2,56.06185948,37.26388441,1179.8,73.82,73.84,0.21,1.50,2.00,0,1,0
6.00,56.06125825,37.26590899,1173.5,56.06154507,37.26485982,1176.1,72.60,72.65,0.25,1.50,2.00,0,1,0
7.00,56.06085918,37.26681590,1167.6,56.06123066,37.26583523,1172.5,73.65,73.81,0.19,1.50,2.00,0,1,0
8.00,56.06067807,37.26782898,1167.3,56.06091625,37.26681062,1168.8,68.62,68.64,0.10,1.50,2.00,0,1,0
9.00,56.06023989,37.26887071,1161.0,56.06060184,37.26778601,1165.1,78.54,78.65,0.41,1.50,2.00,0,1,0
10.00,56.05994664,37.26958673,1156.2,56.06028742,37.26876139,1161.5,63.80,64.01,0.27,1.50,2.00,0,1,0
11.00,56.05975626,37.27079716,1156.5,56.05997301,37.26973676,1157.8,70.18,70.20,0.27,1.50,2.00,0,1,0
12.00,56.05930557,37.27178572,1152.2,56.05965860,37.27071213,1154.1,77.44,77.46,0.48,1.50,2.00,0,1,0
13.00,56.05907058,37.27267993,1150.5,56.05934419,37.27168749,1150.5,68.79,68.79,0.17,1.50,2.00,0,1,0
14.00,56.05871834,37.27363165,1144.6,56.05902978,37.27266283,1146.8,69.48,69.52,0.07,1.50,2.00,0,1,0
15.00,56.05842300,37.27467187,1138.3,56.05871537,37.27363817,1143.1,72.02,72.19,0.16,1.50,2.00,0,1,0
16.00,56.05807247,37.27560564,1130.4,56.05840096,37.27461351,1139.5,71.69,72.27,0.27,1.50,2.00,0,1,0
17.00,56.05779682,37.27679534,1133.1,56.05808655,37.27558883,1135.8,81.63,81.68,0.38,1.50,2.00,0,1,0
18.00,56.05745826,37.27758005,1129.4,56.05777214,37.27656415,1132.1,72.17,72.22,0.32,1.50,2.00,0,1,0
19.00,56.05721535,37.27847592,1135.0,56.05745773,37.27753946,1128.5,64.16,64.49,0.54,1.50,2.00,0,1,0
