timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06309190,37.25999145,1194.5,56.06343153,37.25900723,1198.2,71.91,72.00,0.63,1.50,2.00,8,1,1
1.00,56.06275971,37.26103389,1190.3,56.06311712,37.25998268,1194.5,76.49,76.61,0.56,1.50,2.00,8,1,1
2.00,56.06242283,37.26202022,1186.3,56.06280271,37.26095812,1190.8,78.39,78.52,0.24,1.50,2.00,8,1,1
3.00,56.06211594,37.26306299,1182.5,56.06248830,37.26193356,1187.1,81.52,81.65,0.20,1.50,2.00,8,1,1
4.00,56.06178712,37.26408264,1178.7,56.06217389,37.26290899,1183.5,84.70,84.84,0.32,1.50,2.00,8,1,1
5.00,56.06141720,37.26510905,1174.9,56.06185948,37.26388441,1179.8,90.65,90.78,0.19,1.50,2.00,8,1,1
6.00,56.06115966,37.26598430,1171.3,56.06154507,37.26485982,1176.1,82.00,82.15,0.24,1.50,2.00,8,1,1
7.00,56.06084053,37.26695507,1167.8,56.06123066,37.26583523,1172.5,82.04,82.17,0.31,1.50,2.00,8,1,1
8.00,56.06049130,37.26794956,1164.3,56.06091625,37.26681062,1168.8,85.14,85.26,0.17,1.50,2.00,8,1,1
9.00,56.06024000,37.26895161,1160.6,56.06060184,37.26778601,1165.1,82.89,83.01,0.09,1.50,2.00,8,1,1
10.00,56.05991507,37.26989900,1156.9,56.06028742,37.26876139,1161.5,81.96,82.09,0.12,1.50,2.00,8,1,1
11.00,56.05960845,37.27090028,1153.3,56.05997301,37.26973676,1157.8,82.93,83.05,0.27,1.50,2.00,8,1,1
12.00,56.05928322,37.27184934,1149.8,56.05965860,37.27071213,1154.1,82.11,82.22,0.21,1.50,2.00,8,1,1
13.00,56.05897659,37.27272456,1146.1,56.05934419,37.27168749,1150.5,76.35,76.47,0.47,1.50,2.00,8,1,1
14.00,56.05866661,37.27371805,1142.3,56.05902978,37.27266283,1146.8,77.05,77.18,0.55,1.50,2.00,8,1,1
15.00,56.05837070,37.27469667,1138.2,56.05871537,37.27363817,1143.1,76.16,76.32,0.35,1.50,2.00,8,1,1
16.00,56.05805223,37.27567355,1134.4,56.05840096,37.27461351,1139.5,76.47,76.64,0.27,1.50,2.00,8,1,1
17.00,56.05777009,37.27661344,1130.8,56.05808655,37.27558883,1135.8,72.78,72.95,0.38,1.50,2.00,8,1,1
18.00,56.05744224,37.27762638,1127.1,56.05777214,37.27656415,1132.1,75.55,75.72,0.16,1.50,2.00,8,1,1
19.00,56.05717713,37.27862209,1123.4,56.05745773,37.27753946,1128.5,74.19,74.36,0.18,1.50,2.00,8,1,1
20.00,56.05688330,37.27963888,1119.6,56.05714332,37.27851476,1124.8,75.63,75.81,0.16,1.50,2.00,8,1,1
21.00,56.05655837,37.28065814,1116.0,56.05682891,37.27949005,1121.1,78.60,78.77,0.46,1.50,2.00,8,1,1
22.00,56.05622124,37.28158468,1112.6,56.05651450,37.28046534,1117.4,76.85,77.01,0.50,1.50,2.00,8,1,1
23.00,56.05590382,37.28261870,1109.1,56.05620009,37.28144061,1113.8,80.31,80.45,0.38,1.50,2.00,8,1,1
24.00,56.05561351,37.28363568,1105.3,56.05588568,37.28241588,1110.1,81.65,81.79,0.44,1.50,2.00,8,1,1
25.00,56.05531816,37.28456384,1101.4,56.05557127,37.28339114,1106.4,78.15,78.31,0.29,1.50,2.00,8,1,1
26.00,56.05500900,37.28562688,1097.6,56.05525686,37.28436640,1102.8,83.07,83.23,0.14,1.50,2.00,8,1,1
27.00,56.05468853,37.28661185,1093.9,56.05494245,37.28534164,1099.1,83.86,84.02,0.37,1.50,2.00,8,1,1
28.00,56.05437686,37.28758500,1090.4,56.05462804,37.28631688,1095.4,83.64,83.79,0.28,1.50,2.00,8,1,1
29.00,56.05403511,37.28854479,1086.9,56.05431363,37.28729211,1091.8,83.81,83.95,0.36,1.50,2.00,8,1,1
30.00,56.05370880,37.28952615,1083.5,56.05399922,37.28826733,1088.1,84.67,84.79,0.27,1.50,2.00,8,1,1
31.00,56.05339646,37.29048600,1080.1,56.05368481,37.28924254,1084.4,83.70,83.81,0.32,1.50,2.00,8,1,1
32.00,56.05306185,37.29144937,1076.7,56.05337040,37.29021775,1080.8,83.91,84.01,0.44,1.50,2.00,8,1,1
33.00,56.05275654,37.29235881,1073.5,56.05305599,37.29119295,1077.1,79.77,79.85,0.46,1.50,2.00,8,1,1
34.00,56.05239470,37.29334270,1070.3,56.05274158,37.29216814,1073.4,82.60,82.66,0.37,1.50,2.00,8,1,1
35.00,56.05213727,37.29424296,1067.1,56.05242717,37.29314332,1069.8,75.59,75.64,0.18,1.50,2.00,8,1,1
36.00,56.05182271,37.29518682,1063.5,56.05211276,37.29411849,1066.1,73.85,73.89,0.11,1.50,2.00,8,1,1
37.00,56.05150989,37.29618184,1059.9,56.05179835,37.29509366,1062.4,74.88,74.93,0.53,1.50,2.00,8,1,1
38.00,56.05121437,37.29712432,1056.3,56.05148394,37.29606882,1058.8,72.15,72.20,0.27,1.50,2.00,8,1,1
39.00,56.05088525,37.29809353,1052.9,56.05116952,37.29704397,1055.1,72.52,72.55,0.37,1.50,2.00,8,1,1
40.00,56.05050809,37.29905278,1049.5,56.05085511,37.29801911,1051.4,74.98,75.00,0.30,1.50,2.00,8,1,1
41.00,56.05015444,37.30004827,1046.1,56.05054070,37.29899424,1047.7,78.37,78.39,0.31,1.50,2.00,8,1,1
42.00,56.04980147,37.30105449,1042.5,56.05022629,37.29996937,1044.1,82.39,82.40,0.05,1.50,2.00,8,1,1
43.00,56.04952782,37.30199325,1039.0,56.04991188,37.30094449,1040.4,77.97,77.98,0.20,1.50,2.00,8,1,1
44.00,56.04918175,37.30293261,1035.4,56.04959747,37.30191960,1036.7,78.15,78.17,0.23,1.50,2.00,8,1,1
45.00,56.04890093,37.30394735,1031.8,56.04928306,37.30289470,1033.1,78.05,78.06,0.28,1.50,2.00,8,1,1
46.00,56.04850581,37.30494444,1028.3,56.04896865,37.30386979,1029.4,84.37,84.38,0.42,1.50,2.00,8,1,1
47.00,56.04818274,37.30595931,1024.9,56.04865424,37.30484488,1025.7,86.92,86.93,0.44,1.50,2.00,8,1,1
48.00,56.04786347,37.30691900,1021.4,56.04833983,37.30581996,1022.1,86.49,86.49,0.20,1.50,2.00,8,1,1
49.00,56.04753803,37.30794054,1017.7,56.04802542,37.30679503,1018.4,89.53,89.53,0.30,1.50,2.00,8,1,1
50.00,56.04721281,37.30893202,1014.0,56.04771101,37.30777009,1014.7,91.07,91.08,0.32,1.50,2.00,8,1,1
51.00,56.04689038,37.30991957,1010.3,56.04739660,37.30874515,1011.1,92.23,92.24,0.38,1.50,2.00,8,1,1
52.00,56.04664627,37.31083537,1006.4,56.04708219,37.30972019,1007.4,84.63,84.63,0.42,1.50,2.00,8,1,1
53.00,56.04627431,37.31177308,1002.5,56.04676778,37.31069523,1003.7,86.65,86.66,0.08,1.50,2.00,8,1,1
54.00,56.04596768,37.31272767,998.9,56.04645337,37.31167026,1000.1,85.12,85.13,0.36,1.50,2.00,8,1,1
55.00,56.04564205,37.31369716,995.3,56.04613896,37.31264528,996.4,85.66,85.66,0.39,1.50,2.00,8,1,1
56.00,56.04529084,37.31467162,991.8,56.04582455,37.31362030,992.7,88.33,88.34,0.40,1.50,2.00,8,1,1
57.00,56.04496911,37.31565675,988.3,56.04551014,37.31459531,989.0,89.35,89.35,0.44,1.50,2.00,8,1,1
58.00,56.04464055,37.31662385,984.8,56.04519573,37.31557031,985.4,90.06,90.06,0.18,1.50,2.00,8,1,1
59.00,56.04436775,37.31754185,981.1,56.04488132,37.31654530,981.7,84.31,84.31,0.40,1.50,2.00,8,1,1
60.00,56.04402493,37.31847918,977.7,56.04456691,37.31752028,978.0,84.82,84.82,0.28,1.50,2.00,8,1,1
61.00,56.04370540,37.31944813,974.3,56.04425250,37.31849525,974.4,84.97,84.97,0.29,1.50,2.00,8,1,1
62.00,56.04336075,37.32038366,970.7,56.04393809,37.31947022,970.7,85.77,85.77,0.24,1.50,2.00,8,1,1
63.00,56.04304824,37.32130077,967.3,56.04362368,37.32044518,967.0,83.27,83.27,0.32,1.50,2.00,8,1,1
64.00,56.04273263,37.32228417,964.0,56.04330927,37.32142013,963.4,83.71,83.71,0.22,1.50,2.00,8,1,1
65.00,56.04239132,37.32330870,960.4,56.04299486,37.32239508,959.7,87.98,87.99,0.20,1.50,2.00,8,1,1
66.00,56.04204151,37.32425173,956.8,56.04268045,37.32337001,956.0,89.80,89.81,0.36,1.50,2.00,8,1,1
67.00,56.04170593,37.32522074,953.6,56.04236603,37.32434494,952.4,91.46,91.47,0.44,1.50,2.00,8,1,1
68.00,56.04132654,37.32621081,950.4,56.04205162,37.32531986,948.7,97.90,97.91,0.34,1.50,2.00,8,1,1
69.00,56.04104518,37.32721206,947.1,56.04173721,37.32629477,945.0,95.86,95.88,0.35,1.50,2.00,8,1,1
70.00,56.04069182,37.32815495,943.7,56.04142280,37.32726967,941.4,98.24,98.27,0.32,1.50,2.00,8,1,1
71.00,56.04033267,37.32905951,940.3,56.04110839,37.32824457,937.7,100.12,100.16,0.42,1.50,2.00,8,1,1
72.00,56.04000528,37.33005901,937.0,56.04079398,37.32921946,934.0,102.15,102.19,0.38,1.50,2.00,8,1,1
73.00,56.03963041,37.33107111,933.6,56.04047957,37.33019434,930.4,109.12,109.17,0.29,1.50,2.00,8,1,1
74.00,56.03925090,37.33207509,930.2,56.04016516,37.33116921,926.7,116.33,116.38,0.28,1.50,2.00,8,1,1
75.00,56.03894112,37.33308893,926.7,56.03985075,37.33214407,923.0,117.07,117.13,0.50,1.50,2.00,8,1,1
76.00,56.03863446,37.33412682,923.5,56.03953634,37.33311893,919.3,118.36,118.43,0.41,1.50,2.00,8,1,1
77.00,56.03840522,37.33505902,920.4,56.03922193,37.33409378,915.7,108.94,109.05,0.51,1.50,2.00,8,1,1
78.00,56.03811539,37.33599985,917.2,56.03890752,37.33506862,912.0,105.50,105.62,0.55,1.50,2.00,8,1,1
79.00,56.03779501,37.33690336,914.1,56.03859311,37.33604345,908.3,103.70,103.86,0.32,1.50,2.00,8,1,1
80.00,56.03745771,37.33790288,910.7,56.03827870,37.33701827,904.7,106.67,106.84,0.11,1.50,2.00,8,1,1
81.00,56.03713290,37.33884799,907.2,56.03796429,37.33799309,901.0,106.73,106.91,0.37,1.50,2.00,8,1,1
82.00,56.03684558,37.33982891,903.7,56.03764988,37.33896790,897.3,104.32,104.52,0.38,1.50,2.00,8,1,1
83.00,56.03647901,37.34077995,900.4,56.03733547,37.33994270,893.7,108.63,108.84,0.45,1.50,2.00,8,1,1
84.00,56.03614831,37.34175578,897.2,56.03702106,37.34091749,890.0,110.26,110.49,0.23,1.50,2.00,8,1,1
85.00,56.03577757,37.34271483,893.8,56.03670665,37.34189227,886.3,115.38,115.63,0.42,1.50,2.00,8,1,1
86.00,56.03552842,37.34368844,890.5,56.03639224,37.34286705,882.7,108.89,109.17,0.32,1.50,2.00,8,1,1
87.00,56.03519555,37.34470851,887.1,56.03607783,37.34384182,879.0,112.03,112.32,0.24,1.50,2.00,8,1,1
88.00,56.03489889,37.34566907,883.6,56.03576342,37.34481658,875.3,109.88,110.19,0.18,1.50,2.00,8,1,1
89.00,56.03465170,37.34664022,880.3,56.03544901,37.34579133,871.7,103.27,103.63,0.43,1.50,2.00,8,1,1
90.00,56.03429953,37.34760998,877.1,56.03513460,37.34676608,868.0,106.75,107.14,0.59,1.50,2.00,8,1,1
91.00,56.03402568,37.34852710,874.0,56.03482019,37.34774081,864.3,101.06,101.53,0.45,1.50,2.00,8,1,1
92.00,56.03373352,37.34949073,870.6,56.03450578,37.34871554,860.6,98.56,99.06,0.38,1.50,2.00,8,1,1
93.00,56.03348767,37.35049600,867.2,56.03419137,37.34969026,857.0,92.99,93.56,0.19,1.50,2.00,8,1,1
94.00,56.03314469,37.35146869,863.6,56.03387696,37.35066498,853.3,95.62,96.18,0.25,1.50,2.00,8,1,1
95.00,56.03276447,37.35243233,860.0,56.03356255,37.35163968,849.6,101.60,102.13,0.27,1.50,2.00,8,1,1
96.00,56.03244823,37.35340110,856.3,56.03324813,37.35261438,846.0,101.60,102.13,0.31,1.50,2.00,8,1,1
97.00,56.03211754,37.35441621,852.5,56.03293372,37.35358907,842.3,104.41,104.91,0.24,1.50,2.00,8,1,1
98.00,56.03180212,37.35539683,849.0,56.03261931,37.35456375,838.6,104.69,105.20,0.25,1.50,2.00,8,1,1
99.00,56.03145036,37.35634196,845.4,56.03230490,37.35553842,835.0,107.46,107.96,0.21,1.50,2.00,8,1,1
100.00,56.03114166,37.35731187,841.9,56.03199049,37.35651309,831.3,106.76,107.29,0.23,1.50,2.00,8,1,1
101.00,56.03088318,37.35829864,838.6,56.03167608,37.35748774,827.6,101.66,102.25,0.10,1.50,2.00,8,1,1
102.00,56.03056403,37.35926424,835.1,56.03136167,37.35846239,824.0,101.84,102.45,0.49,1.50,2.00,8,1,1
103.00,56.03023721,37.36027117,832.0,56.03104726,37.35943704,820.3,104.04,104.70,0.55,1.50,2.00,8,1,1
104.00,56.03001645,37.36130877,829.0,56.03073285,37.36041167,816.6,97.33,98.12,0.24,1.50,2.00,8,1,1
105.00,56.02967965,37.36228421,825.7,56.03041844,37.36138629,813.0,99.41,100.22,0.21,1.50,2.00,8,1,1
106.00,56.02936089,37.36325777,822.2,56.03010403,37.36236091,809.3,99.78,100.60,0.23,1.50,2.00,8,1,1
107.00,56.02902264,37.36424640,818.5,56.02978962,37.36333552,805.6,102.47,103.27,0.26,1.50,2.00,8,1,1
108.00,56.02868132,37.36519974,814.8,56.02947521,37.36431012,802.0,104.27,105.06,0.40,1.50,2.00,8,1,1
109.00,56.02832135,37.36614305,811.0,56.02916080,37.36528472,798.3,107.62,108.37,0.38,1.50,2.00,8,1,1
110.00,56.02801399,37.36711578,807.4,56.02884639,37.36625930,794.6,106.89,107.64,0.35,1.50,2.00,8,1,1
111.00,56.02768195,37.36808116,803.7,56.02853198,37.36723388,790.9,108.31,109.06,0.35,1.50,2.00,8,1,1
112.00,56.02738603,37.36908957,800.1,56.02821757,37.36820845,787.3,107.58,108.34,0.32,1.50,2.00,8,1,1
113.00,56.02702143,37.37003746,796.4,56.02790316,37.36918301,783.6,111.62,112.35,0.21,1.50,2.00,8,1,1
114.00,56.02669825,37.37100601,792.7,56.02758875,37.37015757,779.9,112.30,113.03,0.46,1.50,2.00,8,1,1
115.00,56.02639419,37.37195632,788.8,56.02727434,37.37113211,776.3,110.58,111.28,0.31,1.50,2.00,8,1,1
116.00,56.02607291,37.37291666,784.9,56.02695993,37.37210665,772.6,110.86,111.54,0.28,1.50,2.00,8,1,1
117.00,56.02577547,37.37389749,781.2,56.02664552,37.37308118,768.9,109.36,110.04,0.36,1.50,2.00,8,1,1
118.00,56.02548227,37.37491604,777.3,56.02633111,37.37405571,765.3,108.60,109.26,0.39,1.50,2.00,8,1,1
119.00,56.02518402,37.37587865,773.4,56.02601670,37.37503022,761.6,106.67,107.31,0.62,1.50,2.00,8,1,1
120.00,56.02475170,37.37672754,769.3,56.02570229,37.37600473,757.9,114.98,115.54,0.39,1.50,2.00,8,1,1
121.00,56.02442288,37.37769847,765.6,56.02538788,37.37697923,754.3,116.37,116.92,0.29,1.50,2.00,8,1,1
122.00,56.02400284,37.37860283,761.9,56.02507347,37.37795372,750.6,125.84,126.34,0.13,1.50,2.00,8,1,1
123.00,56.02374930,37.37961712,758.3,56.02475906,37.37892820,746.9,120.30,120.84,0.43,1.50,2.00,8,1,1
124.00,56.02344310,37.38060546,754.7,56.02444465,37.37990267,743.3,119.76,120.30,0.18,1.50,2.00,8,1,1
125.00,56.02321504,37.38165919,751.3,56.02413023,37.38087714,739.6,112.90,113.50,0.32,1.50,2.00,8,1,1
126.00,56.02287917,37.38262078,748.0,56.02381582,37.38185160,735.9,114.72,115.36,0.23,1.50,2.00,8,1,1
127.00,56.02251737,37.38352265,744.5,56.02350141,37.38282605,732.3,117.80,118.44,0.26,1.50,2.00,8,1,1
128.00,56.02226490,37.38456199,741.1,56.02318700,37.38380049,728.6,113.05,113.75,0.38,1.50,2.00,8,1,1
129.00,56.02190098,37.38542586,737.6,56.02287259,37.38477493,724.9,115.49,116.18,0.25,1.50,2.00,8,1,1
130.00,56.02155483,37.38636507,733.9,56.02255818,37.38574936,721.2,118.08,118.76,0.13,1.50,2.00,8,1,1
131.00,56.02126746,37.38737266,730.3,56.02224377,37.38672378,717.6,115.94,116.64,0.24,1.50,2.00,8,1,1
132.00,56.02094964,37.38837541,726.9,56.02192936,37.38769819,713.9,116.92,117.64,0.30,1.50,2.00,8,1,1
133.00,56.02069754,37.38950359,723.7,56.02161495,37.38867259,710.2,114.47,115.25,0.39,1.50,2.00,8,1,1
134.00,56.02039062,37.39042989,720.4,56.02130054,37.38964699,706.6,112.39,113.25,0.56,1.50,2.00,8,1,1
135.00,56.02010994,37.39148342,717.1,56.02098613,37.39062137,702.9,111.31,112.22,0.18,1.50,2.00,8,1,1
136.00,56.01977153,37.39230644,713.8,56.02067172,37.39159575,699.2,109.53,110.49,0.26,1.50,2.00,8,1,1
137.00,56.01946874,37.39330525,710.4,56.02035731,37.39257012,695.6,108.98,109.99,0.40,1.50,2.00,8,1,1
138.00,56.01912202,37.39426258,707.0,56.02004290,37.39354449,691.9,111.82,112.83,0.13,1.50,2.00,8,1,1
139.00,56.01878739,37.39523067,703.5,56.01972849,37.39451884,688.2,113.74,114.76,0.22,1.50,2.00,8,1,1
140.00,56.01847371,37.39622158,699.9,56.01941408,37.39549319,684.6,114.07,115.10,0.13,1.50,2.00,8,1,1
141.00,56.01815823,37.39717025,696.3,56.01909967,37.39646753,680.9,113.56,114.60,0.11,1.50,2.00,8,1,1
142.00,56.01780203,37.39810057,692.9,56.01878526,37.39744186,677.2,116.87,117.91,0.21,1.50,2.00,8,1,1
143.00,56.01744614,37.39905109,689.4,56.01847085,37.39841619,673.6,120.72,121.75,0.22,1.50,2.00,8,1,1
144.00,56.01713642,37.39991032,685.9,56.01815644,37.39939050,669.9,118.06,119.14,0.20,1.50,2.00,8,1,1
145.00,56.01683356,37.40096796,682.3,56.01784203,37.40036481,666.2,118.37,119.46,0.10,1.50,2.00,8,1,1
