timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06313361,37.25985404,1194.5,56.06343153,37.25900723,1198.2,62.20,62.31,0.68,1.50,2.00,10,1,1
1.00,56.06282103,37.26086379,1190.4,56.06311712,37.25998268,1194.5,63.91,64.04,0.44,1.50,2.00,10,1,1
2.00,56.06251441,37.26181740,1186.6,56.06280271,37.26095812,1190.8,62.30,62.44,0.34,1.50,2.00,10,1,1
3.00,56.06217844,37.26277949,1182.7,56.06248830,37.26193356,1187.1,62.88,63.04,0.18,1.50,2.00,10,1,1
4.00,56.06184599,37.26386798,1179.0,56.06217389,37.26290899,1183.5,69.89,70.03,0.38,1.50,2.00,10,1,1
5.00,56.06151962,37.26489170,1175.4,56.06185948,37.26388441,1179.8,73.15,73.28,0.14,1.50,2.00,10,1,1
6.00,56.06119807,37.26581726,1171.9,56.06154507,37.26485982,1176.1,70.94,71.07,0.27,1.50,2.00,10,1,1
7.00,56.06089637,37.26682536,1168.4,56.06123066,37.26583523,1172.5,71.91,72.03,0.40,1.50,2.00,10,1,1
8.00,56.06059411,37.26781142,1165.0,56.06091625,37.26681062,1168.8,71.80,71.90,0.25,1.50,2.00,10,1,1
9.00,56.06031404,37.26868357,1161.5,56.06060184,37.26778601,1165.1,64.33,64.43,0.29,1.50,2.00,10,1,1
10.00,56.05997270,37.26987199,1157.7,56.06028742,37.26876139,1161.5,77.41,77.50,0.08,1.50,2.00,10,1,1
11.00,56.05967802,37.27086627,1154.1,56.05997301,37.26973676,1157.8,77.50,77.59,0.20,1.50,2.00,10,1,1
12.00,56.05936638,37.27189983,1150.4,56.05965860,37.27071213,1154.1,80.67,80.76,0.20,1.50,2.00,10,1,1
13.00,56.05906450,37.27292930,1146.6,56.05934419,37.27168749,1150.5,83.23,83.31,0.25,1.50,2.00,10,1,1
14.00,56.05878357,37.27373245,1143.0,56.05902978,37.27266283,1146.8,71.91,72.01,0.20,1.50,2.00,10,1,1
15.00,56.05845894,37.27468425,1139.4,56.05871537,37.27363817,1143.1,71.01,71.11,0.16,1.50,2.00,10,1,1
16.00,56.05813367,37.27570034,1135.8,56.05840096,37.27461351,1139.5,73.82,73.90,0.25,1.50,2.00,10,1,1
17.00,56.05783055,37.27656164,1132.4,56.05808655,37.27558883,1135.8,66.85,66.93,0.32,1.50,2.00,10,1,1
18.00,56.05750422,37.27753466,1128.9,56.05777214,37.27656415,1132.1,67.29,67.37,0.16,1.50,2.00,10,1,1
19.00,56.05717345,37.27852418,1125.2,56.05745773,37.27753946,1128.5,68.90,68.98,0.28,1.50,2.00,10,1,1
20.00,56.05683503,37.27957963,1121.5,56.05714332,37.27851476,1124.8,74.56,74.63,0.42,1.50,2.00,10,1,1
21.00,56.05653673,37.28067739,1117.8,56.05682891,37.27949005,1121.1,80.65,80.72,0.21,1.50,2.00,10,1,1
22.00,56.05625732,37.28149177,1114.1,56.05651450,37.28046534,1117.4,69.93,70.01,0.15,1.50,2.00,10,1,1
23.00,56.05592568,37.28248454,1110.4,56.05620009,37.28144061,1113.8,71.72,71.80,0.27,1.50,2.00,10,1,1
24.00,56.05561030,37.28345830,1106.7,56.05588568,37.28241588,1110.1,71.68,71.76,0.28,1.50,2.00,10,1,1
25.00,56.05531345,37.28436353,1103.3,56.05557127,37.28339114,1106.4,66.91,66.98,0.23,1.50,2.00,10,1,1
26.00,56.05498262,37.28529071,1099.8,56.05525686,37.28436640,1102.8,65.06,65.13,0.66,1.50,2.00,10,1,1
27.00,56.05465712,37.28628853,1096.7,56.05494245,37.28534164,1099.1,66.88,66.92,0.12,1.50,2.00,10,1,1
28.00,56.05435664,37.28708722,1093.2,56.05462804,37.28631688,1095.4,56.62,56.67,0.13,1.50,2.00,10,1,1
29.00,56.05404590,37.28808899,1089.6,56.05431363,37.28729211,1091.8,57.81,57.85,0.28,1.50,2.00,10,1,1
30.00,56.05371506,37.28911812,1086.1,56.05399922,37.28826733,1088.1,61.63,61.66,0.27,1.50,2.00,10,1,1
31.00,56.05341316,37.29011986,1082.7,56.05368481,37.28924254,1084.4,62.36,62.38,0.19,1.50,2.00,10,1,1
32.00,56.05307602,37.29104714,1079.3,56.05337040,37.29021775,1080.8,61.09,61.11,0.28,1.50,2.00,10,1,1
33.00,56.05275396,37.29206026,1075.6,56.05305599,37.29119295,1077.1,63.54,63.56,0.26,1.50,2.00,10,1,1
34.00,56.05244120,37.29311908,1071.8,56.05274158,37.29216814,1073.4,67.92,67.94,0.43,1.50,2.00,10,1,1
35.00,56.05212809,37.29405660,1068.0,56.05242717,37.29314332,1069.8,65.82,65.84,0.43,1.50,2.00,10,1,1
36.00,56.05182661,37.29497190,1064.0,56.05211276,37.29411849,1066.1,61.88,61.91,0.27,1.50,2.00,10,1,1
37.00,56.05152108,37.29592680,1060.2,56.05179835,37.29509366,1062.4,60.29,60.33,0.57,1.50,2.00,10,1,1
38.00,56.05117458,37.29705239,1056.1,56.05148394,37.29606882,1058.8,70.18,70.23,0.74,1.50,2.00,10,1,1
39.00,56.05087281,37.29797701,1051.9,56.05116952,37.29704397,1055.1,66.75,66.82,0.59,1.50,2.00,10,1,1
40.00,56.05056881,37.29909039,1047.9,56.05085511,37.29801911,1051.4,73.83,73.92,0.53,1.50,2.00,10,1,1
41.00,56.05025244,37.29996692,1044.1,56.05054070,37.29899424,1047.7,68.46,68.56,0.46,1.50,2.00,10,1,1
42.00,56.04993819,37.30095461,1040.3,56.05022629,37.29996937,1044.1,69.14,69.24,0.29,1.50,2.00,10,1,1
43.00,56.04962569,37.30195444,1036.6,56.04991188,37.30094449,1040.4,70.41,70.51,0.26,1.50,2.00,10,1,1
44.00,56.04930646,37.30289367,1033.1,56.04959747,37.30191960,1036.7,68.68,68.77,0.33,1.50,2.00,10,1,1
45.00,56.04894763,37.30393274,1029.7,56.04928306,37.30289470,1033.1,74.56,74.64,0.18,1.50,2.00,10,1,1
46.00,56.04864100,37.30490471,1026.0,56.04896865,37.30386979,1029.4,73.96,74.04,0.28,1.50,2.00,10,1,1
47.00,56.04831715,37.30590287,1022.5,56.04865424,37.30484488,1025.7,75.73,75.80,0.27,1.50,2.00,10,1,1
48.00,56.04804460,37.30688840,1018.8,56.04833983,37.30581996,1022.1,74.11,74.18,0.17,1.50,2.00,10,1,1
49.00,56.04770965,37.30795320,1015.3,56.04802542,37.30679503,1018.4,80.13,80.19,0.37,1.50,2.00,10,1,1
50.00,56.04741111,37.30894816,1011.5,56.04771101,37.30777009,1014.7,80.49,80.56,0.42,1.50,2.00,10,1,1
51.00,56.04710247,37.30988739,1007.6,56.04739660,37.30874515,1011.1,78.20,78.28,0.36,1.50,2.00,10,1,1
52.00,56.04679833,37.31073264,1003.7,56.04708219,37.30972019,1007.4,70.43,70.53,0.28,1.50,2.00,10,1,1
53.00,56.04649253,37.31176818,1000.0,56.04676778,37.31069523,1003.7,73.41,73.51,0.25,1.50,2.00,10,1,1
54.00,56.04617132,37.31267399,996.2,56.04645337,37.31167026,1000.1,69.86,69.97,0.10,1.50,2.00,10,1,1
55.00,56.04583907,37.31353761,992.6,56.04613896,37.31264528,996.4,64.75,64.86,0.37,1.50,2.00,10,1,1
56.00,56.04552706,37.31465021,989.0,56.04582455,37.31362030,992.7,72.09,72.19,0.12,1.50,2.00,10,1,1
57.00,56.04522517,37.31566394,985.5,56.04551014,37.31459531,989.0,73.63,73.71,0.09,1.50,2.00,10,1,1
58.00,56.04491523,37.31657459,982.0,56.04519573,37.31557031,985.4,69.82,69.90,0.28,1.50,2.00,10,1,1
59.00,56.04460872,37.31740804,978.4,56.04488132,37.31654530,981.7,61.63,61.72,0.15,1.50,2.00,10,1,1
60.00,56.04430805,37.31832671,974.9,56.04456691,37.31752028,978.0,57.83,57.92,0.36,1.50,2.00,10,1,1
61.00,56.04397507,37.31919540,971.6,56.04425250,37.31849525,974.4,53.38,53.45,0.37,1.50,2.00,10,1,1
62.00,56.04366454,37.32018508,968.4,56.04393809,37.31947022,970.7,53.88,53.93,0.18,1.50,2.00,10,1,1
63.00,56.04334249,37.32110395,964.8,56.04362368,37.32044518,967.0,51.55,51.60,0.28,1.50,2.00,10,1,1
64.00,56.04302549,37.32214558,961.4,56.04330927,37.32142013,963.4,55.07,55.11,0.23,1.50,2.00,10,1,1
65.00,56.04268939,37.32305730,957.8,56.04299486,37.32239508,959.7,53.40,53.44,0.23,1.50,2.00,10,1,1
66.00,56.04240251,37.32418064,954.2,56.04268045,37.32337001,956.0,59.14,59.17,0.37,1.50,2.00,10,1,1
67.00,56.04206750,37.32514012,950.4,56.04236603,37.32434494,952.4,59.58,59.61,0.31,1.50,2.00,10,1,1
68.00,56.04176133,37.32620290,946.7,56.04205162,37.32531986,948.7,63.71,63.74,0.38,1.50,2.00,10,1,1
69.00,56.04144591,37.32724111,942.9,56.04173721,37.32629477,945.0,67.19,67.22,0.31,1.50,2.00,10,1,1
70.00,56.04111999,37.32823539,939.1,56.04142280,37.32726967,941.4,68.87,68.90,0.39,1.50,2.00,10,1,1
71.00,56.04078402,37.32921993,935.3,56.04110839,37.32824457,937.7,70.59,70.63,0.27,1.50,2.00,10,1,1
72.00,56.04049424,37.33010281,931.6,56.04079398,37.32921946,934.0,64.27,64.31,0.22,1.50,2.00,10,1,1
73.00,56.04018689,37.33109394,928.1,56.04047957,37.33019434,930.4,64.74,64.78,0.34,1.50,2.00,10,1,1
74.00,56.03986335,37.33205963,924.3,56.04016516,37.33116921,926.7,64.77,64.81,0.27,1.50,2.00,10,1,1
75.00,56.03954962,37.33313062,920.6,56.03985075,37.33214407,923.0,69.91,69.95,0.37,1.50,2.00,10,1,1
76.00,56.03925161,37.33417711,917.2,56.03953634,37.33311893,919.3,73.04,73.07,0.49,1.50,2.00,10,1,1
77.00,56.03893725,37.33504949,914.0,56.03922193,37.33409378,915.7,67.35,67.37,0.34,1.50,2.00,10,1,1
78.00,56.03869072,37.33601208,910.6,56.03890752,37.33506862,912.0,63.44,63.46,0.50,1.50,2.00,10,1,1
79.00,56.03837022,37.33709126,907.3,56.03859311,37.33604345,908.3,69.72,69.73,0.52,1.50,2.00,10,1,1
80.00,56.03806929,37.33811916,904.2,56.03827870,37.33701827,904.7,72.32,72.32,0.35,1.50,2.00,10,1,1
