timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06309428,37.26000248,1199.7,56.06343153,37.25900723,1198.2,72.35,72.37,0.61,1.50,2.00,0,1,0
1.00,56.06280772,37.26098944,1196.4,56.06311712,37.25998268,1194.5,71.42,71.45,0.28,1.50,2.00,0,1,0
2.00,56.06245121,37.26192610,1194.6,56.06280271,37.26095812,1190.8,71.76,71.86,0.34,1.50,2.00,0,1,0
3.00,56.06225402,37.26295520,1190.5,56.06248830,37.26193356,1187.1,68.64,68.72,0.17,1.50,2.00,0,1,0
4.00,56.06194476,37.26385086,1185.2,56.06217389,37.26290899,1183.5,63.85,63.88,0.40,1.50,2.00,0,1,0
5.00,56.06158720,37.26465570,1178.1,56.06185948,37.26388441,1179.8,56.71,56.74,0.39,1.50,2.00,0,1,0
6.00,56.06117515,37.26579759,1173.2,56.06154507,37.26485982,1176.1,71.36,71.42,0.39,1.50,2.00,0,1,0
7.00,56.06090266,37.26686347,1170.9,56.06123066,37.26583523,1172.5,73.60,73.62,0.35,1.50,2.00,0,1,0
8.00,56.06054709,37.26776003,1168.7,56.06091625,37.26681062,1168.8,71.91,71.91,0.19,1.50,2.00,0,1,0
9.00,56.06028647,37.26867484,1162.0,56.06060184,37.26778601,1165.1,65.45,65.53,0.28,1.50,2.00,0,1,0
10.00,56.05999456,37.26992171,1161.1,56.06028742,37.26876139,1161.5,79.14,79.14,0.37,1.50,2.00,0,1,0
11.00,56.05970508,37.27072082,1156.9,56.05997301,37.26973676,1157.8,68.05,68.05,0.38,1.50,2.00,0,1,0
12.00,56.05930917,37.27153810,1154.5,56.05965860,37.27071213,1154.1,64.41,64.41,0.39,1.50,2.00,0,1,0
13.00,56.05897669,37.27254331,1149.0,56.05934419,37.27168749,1150.5,67.10,67.12,0.23,1.50,2.00,0,1,0
14.00,56.05868177,37.27357067,1143.3,56.05902978,37.27266283,1146.8,68.44,68.53,0.27,1.50,2.00,0,1,0
15.00,56.05840134,37.27448542,1137.3,56.05871537,37.27363817,1143.1,63.21,63.48,0.40,1.50,2.00,0,1,0
16.00,56.05815972,37.27543280,1133.5,56.05840096,37.27461351,1139.5,57.57,57.88,0.27,1.50,2.00,0,1,0
17.00,56.05772226,37.27659817,1129.8,56.05808655,37.27558883,1135.8,74.70,74.94,0.60,1.50,2.00,0,1,0
18.00,56.05753602,37.27757738,1126.8,56.05777214,37.27656415,1132.1,68.24,68.45,0.77,1.50,2.00,0,1,0
19.00,56.05714710,37.27842319,1124.6,56.05745773,37.27753946,1128.5,64.91,65.02,0.63,1.50,2.00,0,1,0
20.00,56.05686569,37.27946900,1124.9,56.05714332,37.27851476,1124.8,66.88,66.88,0.51,1.50,2.00,0,1,0
21.00,56.05655411,37.28043917,1122.5,56.05682891,37.27949005,1121.1,66.45,66.47,0.57,1.50,2.00,0,1,0
22.00,56.05615096,37.28138060,1120.3,56.05651450,37.28046534,1117.4,69.82,69.87,0.70,1.50,2.00,0,1,0
23.00,56.05583144,37.28243983,1116.7,56.05620009,37.28144061,1113.8,74.44,74.50,0.59,1.50,2.00,0,1,0
24.00,56.05555620,37.28333014,1108.7,56.05588568,37.28241588,1110.1,67.64,67.65,0.47,1.50,2.00,0,1,0
25.00,56.05519609,37.28442999,1099.9,56.05557127,37.28339114,1106.4,76.90,77.18,0.66,1.50,2.00,0,1,0
26.00,56.05494066,37.28521820,1096.5,56.05525686,37.28436640,1102.8,63.58,63.89,0.70,1.50,2.00,0,1,0
27.00,56.05467295,37.28638443,1095.4,56.05494245,37.28534164,1099.1,71.43,71.52,0.52,1.50,2.00,0,1,0
28.00,56.05438735,37.28732059,1095.1,56.05462804,37.28631688,1095.4,67.90,67.90,0.41,1.50,2.00,0,1,0
29.00,56.05401960,37.28834551,1090.8,56.05431363,37.28729211,1091.8,73.21,73.21,0.74,1.50,2.00,0,1,0
30.00,56.05371531,37.28923859,1089.1,56.05399922,37.28826733,1088.1,68.15,68.15,0.43,1.50,2.00,0,1,0
31.00,56.05338554,37.29015532,1090.0,56.05368481,37.28924254,1084.4,65.80,66.04,0.64,1.50,2.00,0,1,0
32.00,56.05304151,37.29127276,1085.6,56.05337040,37.29021775,1080.8,75.11,75.27,0.25,1.50,2.00,0,1,0
33.00,56.05265677,37.29219874,1081.4,56.05305599,37.29119295,1077.1,76.71,76.83,0.28,1.50,2.00,0,1,0
34.00,56.05245924,37.29313947,1077.5,56.05274158,37.29216814,1073.4,68.07,68.20,0.46,1.50,2.00,0,1,0
35.00,56.05207909,37.29405599,1069.8,56.05242717,37.29314332,1069.8,68.70,68.70,0.41,1.50,2.00,0,1,0
36.00,56.05184121,37.29509068,1061.5,56.05211276,37.29411849,1066.1,67.57,67.73,0.03,1.50,2.00,0,1,0
37.00,56.05144114,37.29606674,1052.5,56.05179835,37.29509366,1062.4,72.39,73.07,0.36,1.50,2.00,0,1,0
38.00,56.05121445,37.29701043,1044.1,56.05148394,37.29606882,1058.8,65.78,67.39,0.32,1.50,2.00,0,1,0
39.00,56.05088982,37.29809871,1048.6,56.05116952,37.29704397,1055.1,72.59,72.88,0.18,1.50,2.00,0,1,0
40.00,56.05053935,37.29896852,1042.9,56.05085511,37.29801911,1051.4,68.70,69.23,0.22,1.50,2.00,0,1,0
41.00,56.05031230,37.29996902,1045.8,56.05054070,37.29899424,1047.7,65.72,65.75,0.14,1.50,2.00,0,1,0
42.00,56.04992025,37.30100939,1043.7,56.05022629,37.29996937,1044.1,73.08,73.08,0.26,1.50,2.00,0,1,0
43.00,56.04962714,37.30192776,1041.4,56.04991188,37.30094449,1040.4,68.86,68.87,0.38,1.50,2.00,0,1,0
44.00,56.04925477,37.30278850,1034.2,56.04959747,37.30191960,1036.7,66.13,66.18,0.12,1.50,2.00,0,1,0
45.00,56.04892949,37.30373608,1029.3,56.04928306,37.30289470,1033.1,65.46,65.57,0.29,1.50,2.00,0,1,0
46.00,56.04871660,37.30490316,1025.0,56.04896865,37.30386979,1029.4,70.10,70.24,0.36,1.50,2.00,0,1,0
47.00,56.04836065,37.30571852,1024.9,56.04865424,37.30484488,1025.7,63.39,63.40,0.28,1.50,2.00,0,1,0
48.00,56.04806184,37.30676222,1018.8,56.04833983,37.30581996,1022.1,66.25,66.33,0.28,1.50,2.00,0,1,0
49.00,56.04777301,37.30772536,1015.0,56.04802542,37.30679503,1018.4,64.30,64.39,0.45,1.50,2.00,0,1,0
50.00,56.04733134,37.30882717,1011.5,56.04771101,37.30777009,1014.7,78.14,78.20,0.27,1.50,2.00,0,1,0
51.00,56.04707772,37.30980175,1009.6,56.04739660,37.30874515,1011.1,74.67,74.68,0.23,1.50,2.00,0,1,0
52.00,56.04675672,37.31069227,1006.0,56.04708219,37.30972019,1007.4,70.47,70.48,0.23,1.50,2.00,0,1,0
53.00,56.04650149,37.31155875,1004.1,56.04676778,37.31069523,1003.7,61.33,61.33,0.15,1.50,2.00,0,1,0
54.00,56.04606086,37.31264692,995.5,56.04645337,37.31167026,1000.1,74.81,74.95,0.32,1.50,2.00,0,1,0
