timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06312653,37.25992371,1194.5,56.06343153,37.25900723,1198.2,66.31,66.41,0.44,1.50,2.00,8,1,1
1.00,56.06274910,37.26102135,1190.5,56.06311712,37.25998268,1194.5,76.45,76.56,0.42,1.50,2.00,8,1,1
2.00,56.06237697,37.26211378,1186.5,56.06280271,37.26095812,1190.8,86.05,86.16,0.34,1.50,2.00,8,1,1
3.00,56.06205981,37.26306837,1182.5,56.06248830,37.26193356,1187.1,85.14,85.27,0.27,1.50,2.00,8,1,1
4.00,56.06178638,37.26400983,1178.7,56.06217389,37.26290899,1183.5,80.88,81.02,0.08,1.50,2.00,8,1,1
5.00,56.06143254,37.26506586,1175.0,56.06185948,37.26388441,1179.8,87.47,87.60,0.36,1.50,2.00,8,1,1
6.00,56.06117674,37.26587382,1171.2,56.06154507,37.26485982,1176.1,75.18,75.35,0.35,1.50,2.00,8,1,1
7.00,56.06088176,37.26679289,1167.4,56.06123066,37.26583523,1172.5,71.07,71.25,0.29,1.50,2.00,8,1,1
8.00,56.06056303,37.26771201,1163.7,56.06091625,37.26681062,1168.8,68.44,68.63,0.37,1.50,2.00,8,1,1
9.00,56.06021660,37.26875462,1159.8,56.06060184,37.26778601,1165.1,73.91,74.11,0.13,1.50,2.00,8,1,1
10.00,56.05989838,37.26972633,1156.1,56.06028742,37.26876139,1161.5,73.98,74.17,0.17,1.50,2.00,8,1,1
11.00,56.05957420,37.27068814,1152.6,56.05997301,37.26973676,1157.8,73.94,74.13,0.12,1.50,2.00,8,1,1
12.00,56.05930015,37.27150888,1148.9,56.05965860,37.27071213,1154.1,63.60,63.81,0.12,1.50,2.00,8,1,1
13.00,56.05901857,37.27243493,1145.3,56.05934419,37.27168749,1150.5,58.92,59.15,0.14,1.50,2.00,8,1,1
14.00,56.05864628,37.27350616,1141.8,56.05902978,37.27266283,1146.8,67.60,67.79,0.33,1.50,2.00,8,1,1
15.00,56.05834598,37.27445494,1138.3,56.05871537,37.27363817,1143.1,65.33,65.51,0.32,1.50,2.00,8,1,1
