timestamp,est_lat,est_lon,est_alt,true_lat,true_lon,true_alt,error_2d,error_3d,velocity_error,hdop,vdop,tcas_targets,sns_available,tcas_available
0.00,56.06310956,37.25999614,1194.5,56.06343153,37.25900723,1198.2,71.15,71.24,0.38,1.50,2.00,8,1,1
1.00,56.06280345,37.26094350,1190.6,56.06311712,37.25998268,1194.5,69.17,69.28,0.32,1.50,2.00,8,1,1
2.00,56.06241207,37.26201852,1186.8,56.06280271,37.26095812,1190.8,78.96,79.06,0.24,1.50,2.00,8,1,1
3.00,56.06212736,37.26300154,1183.0,56.06248830,37.26193356,1187.1,77.59,77.70,0.12,1.50,2.00,8,1,1
4.00,56.06176895,37.26399316,1179.2,56.06217389,37.26290899,1183.5,81.07,81.18,0.21,1.50,2.00,8,1,1
5.00,56.06153577,37.26490823,1175.4,56.06185948,37.26388441,1179.8,73.13,73.26,0.16,1.50,2.00,8,1,1
6.00,56.06114480,37.26592791,1171.7,56.06154507,37.26485982,1176.1,79.95,80.07,0.34,1.50,2.00,8,1,1
7.00,56.06081953,37.26696753,1168.0,56.06123066,37.26583523,1172.5,83.95,84.06,0.26,1.50,2.00,8,1,1
8.00,56.06053654,37.26793433,1164.2,56.06091625,37.26681062,1168.8,81.63,81.76,0.15,1.50,2.00,8,1,1
9.00,56.06030338,37.26890885,1160.6,56.06060184,37.26778601,1165.1,77.29,77.42,0.25,1.50,2.00,8,1,1
10.00,56.06003952,37.26981619,1157.0,56.06028742,37.26876139,1161.5,71.13,71.27,0.13,1.50,2.00,8,1,1
11.00,56.05961817,37.27083522,1153.5,56.05997301,37.26973676,1157.8,78.88,78.99,0.33,1.50,2.00,8,1,1
12.00,56.05930818,37.27187003,1150.0,56.05965860,37.27071213,1154.1,81.86,81.96,0.16,1.50,2.00,8,1,1
13.00,56.05907520,37.27283937,1146.5,56.05934419,37.27168749,1150.5,77.60,77.70,0.27,1.50,2.00,8,1,1
14.00,56.05877996,37.27382326,1143.1,56.05902978,37.27266283,1146.8,77.30,77.39,0.30,1.50,2.00,8,1,1
15.00,56.05842120,37.27480064,1139.7,56.05871537,37.27363817,1143.1,79.33,79.40,0.27,1.50,2.00,8,1,1
16.00,56.05801596,37.27575134,1136.2,56.05840096,37.27461351,1139.5,82.69,82.76,0.21,1.50,2.00,8,1,1
17.00,56.05772222,37.27667489,1132.4,56.05808655,37.27558883,1135.8,78.75,78.83,0.20,1.50,2.00,8,1,1
18.00,56.05742362,37.27765626,1128.6,56.05777214,37.27656415,1132.1,78.19,78.27,0.21,1.50,2.00,8,1,1
19.00,56.05710898,37.27862050,1124.8,56.05745773,37.27753946,1128.5,77.60,77.69,0.27,1.50,2.00,8,1,1
20.00,56.05673899,37.27955001,1121.0,56.05714332,37.27851476,1124.8,78.53,78.62,0.16,1.50,2.00,8,1,1
21.00,56.05643476,37.28054449,1117.3,56.05682891,37.27949005,1121.1,78.87,78.96,0.19,1.50,2.00,8,1,1
22.00,56.05618399,37.28159551,1113.8,56.05651450,37.28046534,1117.4,79.30,79.38,0.29,1.50,2.00,8,1,1
23.00,56.05583646,37.28252192,1110.2,56.05620009,37.28144061,1113.8,78.46,78.54,0.49,1.50,2.00,8,1,1
24.00,56.05553723,37.28350105,1106.9,56.05588568,37.28241588,1110.1,77.81,77.88,0.38,1.50,2.00,8,1,1
25.00,56.05524262,37.28451593,1103.5,56.05557127,37.28339114,1106.4,78.91,78.96,0.38,1.50,2.00,8,1,1
26.00,56.05495548,37.28553981,1100.2,56.05525686,37.28436640,1102.8,80.29,80.33,0.14,1.50,2.00,8,1,1
27.00,56.05462023,37.28645602,1096.7,56.05494245,37.28534164,1099.1,78.01,78.04,0.15,1.50,2.00,8,1,1
28.00,56.05425811,37.28726235,1093.1,56.05462804,37.28631688,1095.4,71.76,71.80,0.18,1.50,2.00,8,1,1
29.00,56.05393409,37.28822134,1089.4,56.05431363,37.28729211,1091.8,71.57,71.61,0.19,1.50,2.00,8,1,1
30.00,56.05362086,37.28915643,1085.7,56.05399922,37.28826733,1088.1,69.49,69.53,0.20,1.50,2.00,8,1,1
31.00,56.05331324,37.29016439,1082.1,56.05368481,37.28924254,1084.4,70.67,70.71,0.20,1.50,2.00,8,1,1
32.00,56.05299456,37.29113835,1078.5,56.05337040,37.29021775,1080.8,70.89,70.93,0.24,1.50,2.00,8,1,1
33.00,56.05269331,37.29225047,1075.1,56.05305599,37.29119295,1077.1,77.15,77.17,0.35,1.50,2.00,8,1,1
34.00,56.05235576,37.29292383,1071.7,56.05274158,37.29216814,1073.4,63.65,63.67,0.50,1.50,2.00,8,1,1
35.00,56.05204455,37.29400867,1068.4,56.05242717,37.29314332,1069.8,68.61,68.63,0.37,1.50,2.00,8,1,1
36.00,56.05172311,37.29487105,1065.0,56.05211276,37.29411849,1066.1,63.80,63.81,0.29,1.50,2.00,8,1,1
37.00,56.05140543,37.29607479,1061.4,56.05179835,37.29509366,1062.4,75.05,75.06,0.13,1.50,2.00,8,1,1
38.00,56.05109686,37.29712230,1057.8,56.05148394,37.29606882,1058.8,78.39,78.40,0.22,1.50,2.00,8,1,1
39.00,56.05079478,37.29814671,1053.9,56.05116952,37.29704397,1055.1,80.25,80.26,0.28,1.50,2.00,8,1,1
40.00,56.05048572,37.29910912,1050.1,56.05085511,37.29801911,1051.4,79.26,79.28,0.28,1.50,2.00,8,1,1
41.00,56.05018549,37.30019024,1046.5,56.05054070,37.29899424,1047.7,84.21,84.22,0.28,1.50,2.00,8,1,1
42.00,56.04985237,37.30110956,1042.8,56.05022629,37.29996937,1044.1,82.20,82.21,0.08,1.50,2.00,8,1,1
43.00,56.04954645,37.30194170,1039.2,56.04991188,37.30094449,1040.4,74.15,74.16,0.18,1.50,2.00,8,1,1
44.00,56.04922565,37.30289390,1035.5,56.04959747,37.30191960,1036.7,73.36,73.37,0.25,1.50,2.00,8,1,1
45.00,56.04891551,37.30367561,1031.9,56.04928306,37.30289470,1033.1,63.49,63.50,0.13,1.50,2.00,8,1,1
46.00,56.04861208,37.30477312,1028.3,56.04896865,37.30386979,1029.4,68.77,68.78,0.19,1.50,2.00,8,1,1
47.00,56.04830634,37.30578084,1024.8,56.04865424,37.30484488,1025.7,69.90,69.91,0.35,1.50,2.00,8,1,1
48.00,56.04798129,37.30675940,1021.3,56.04833983,37.30581996,1022.1,70.74,70.75,0.25,1.50,2.00,8,1,1
49.00,56.04765915,37.30777198,1017.7,56.04802542,37.30679503,1018.4,73.16,73.16,0.25,1.50,2.00,8,1,1
50.00,56.04732987,37.30879910,1013.9,56.04771101,37.30777009,1014.7,76.77,76.77,0.23,1.50,2.00,8,1,1
51.00,56.04703963,37.30964071,1010.1,56.04739660,37.30874515,1011.1,68.41,68.41,0.28,1.50,2.00,8,1,1
52.00,56.04671230,37.31079327,1006.3,56.04708219,37.30972019,1007.4,78.40,78.41,0.29,1.50,2.00,8,1,1
53.00,56.04644277,37.31164050,1002.9,56.04676778,37.31069523,1003.7,69.02,69.02,0.23,1.50,2.00,8,1,1
54.00,56.04612625,37.31252682,999.2,56.04645337,37.31167026,1000.1,64.52,64.52,0.26,1.50,2.00,8,1,1
55.00,56.04584684,37.31341894,995.7,56.04613896,37.31264528,996.4,58.06,58.07,0.31,1.50,2.00,8,1,1
56.00,56.04549835,37.31454222,992.0,56.04582455,37.31362030,992.7,67.85,67.86,0.33,1.50,2.00,8,1,1
57.00,56.04516513,37.31541614,988.2,56.04551014,37.31459531,989.0,63.87,63.88,0.07,1.50,2.00,8,1,1
58.00,56.04483454,37.31650548,984.5,56.04519573,37.31557031,985.4,70.69,70.70,0.36,1.50,2.00,8,1,1
59.00,56.04451061,37.31750874,981.0,56.04488132,37.31654530,981.7,72.74,72.75,0.48,1.50,2.00,8,1,1
60.00,56.04421837,37.31850426,977.7,56.04456691,37.31752028,978.0,72.45,72.45,0.30,1.50,2.00,8,1,1
61.00,56.04391071,37.31945679,974.3,56.04425250,37.31849525,974.4,70.87,70.87,0.24,1.50,2.00,8,1,1
62.00,56.04360065,37.32035298,970.8,56.04393809,37.31947022,970.7,66.51,66.51,0.45,1.50,2.00,8,1,1
63.00,56.04330071,37.32139254,967.3,56.04362368,37.32044518,967.0,69.01,69.01,0.40,1.50,2.00,8,1,1
64.00,56.04297210,37.32243249,963.8,56.04330927,37.32142013,963.4,73.29,73.29,0.22,1.50,2.00,8,1,1
65.00,56.04267033,37.32349569,960.3,56.04299486,37.32239508,959.7,77.39,77.39,0.39,1.50,2.00,8,1,1
66.00,56.04236786,37.32435565,957.0,56.04268045,37.32337001,956.0,70.48,70.48,0.18,1.50,2.00,8,1,1
67.00,56.04208727,37.32525438,953.5,56.04236603,37.32434494,952.4,64.50,64.51,0.13,1.50,2.00,8,1,1
68.00,56.04175491,37.32626960,950.0,56.04205162,37.32531986,948.7,67.67,67.68,0.35,1.50,2.00,8,1,1
69.00,56.04144220,37.32716127,946.7,56.04173721,37.32629477,945.0,63.10,63.12,0.42,1.50,2.00,8,1,1
70.00,56.04110210,37.32813285,943.3,56.04142280,37.32726967,941.4,64.46,64.49,0.33,1.50,2.00,8,1,1
71.00,56.04075674,37.32926872,939.9,56.04110839,37.32824457,937.7,74.75,74.79,0.80,1.50,2.00,8,1,1
72.00,56.04037593,37.33027298,936.9,56.04079398,37.32921946,934.0,80.36,80.41,0.67,1.50,2.00,8,1,1
73.00,56.04008663,37.33125248,933.6,56.04047957,37.33019434,930.4,79.01,79.08,0.27,1.50,2.00,8,1,1
74.00,56.03974263,37.33209619,930.2,56.04016516,37.33116921,926.7,74.40,74.48,0.25,1.50,2.00,8,1,1
75.00,56.03940831,37.33307859,926.8,56.03985075,37.33214407,923.0,76.18,76.27,0.30,1.50,2.00,8,1,1
76.00,56.03910322,37.33406699,923.5,56.03953634,37.33311893,919.3,76.16,76.27,0.17,1.50,2.00,8,1,1
77.00,56.03880262,37.33488118,920.0,56.03922193,37.33409378,915.7,67.65,67.79,0.02,1.50,2.00,8,1,1
78.00,56.03849819,37.33591859,916.4,56.03890752,37.33506862,912.0,69.79,69.92,0.41,1.50,2.00,8,1,1
79.00,56.03816992,37.33679549,912.4,56.03859311,37.33604345,908.3,66.38,66.51,0.26,1.50,2.00,8,1,1
